OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(1965196k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=734003200 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-05T00:48:22.662+0800: 11.373: [GC (Allocation Failure) [PSYoungGen: 14848K->1347K(16896K)] 14848K->1347K(55296K), 0.0039532 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2024-07-05T00:49:04.159+0800: 52.870: [GC (Allocation Failure) [PSYoungGen: 16195K->2048K(16896K)] 16195K->4163K(55296K), 0.0054103 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2024-07-05T00:49:04.209+0800: 52.920: [GC (Allocation Failure) [PSYoungGen: 16896K->2048K(16896K)] 19011K->7290K(55296K), 0.0064442 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:04.263+0800: 52.974: [GC (Allocation Failure) [PSYoungGen: 16893K->2032K(31744K)] 22135K->11252K(70144K), 0.0066183 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2024-07-05T00:49:04.349+0800: 53.060: [GC (Allocation Failure) [PSYoungGen: 31728K->2032K(31744K)] 40948K->15677K(70144K), 0.0131894 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:04.576+0800: 53.286: [GC (Allocation Failure) [PSYoungGen: 31728K->8673K(65024K)] 45373K->24966K(103424K), 0.0088733 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2024-07-05T00:49:05.013+0800: 53.723: [GC (Allocation Failure) [PSYoungGen: 64993K->11770K(68096K)] 81286K->44560K(106496K), 0.0316602 secs] [Times: user=0.04 sys=0.02, real=0.03 secs] 
2024-07-05T00:49:05.044+0800: 53.755: [Full GC (Ergonomics) [PSYoungGen: 11770K->0K(68096K)] [ParOldGen: 32789K->31899K(59904K)] 44560K->31899K(128000K), [Metaspace: 10180K->10180K(1058816K)], 0.0947392 secs] [Times: user=0.16 sys=0.01, real=0.10 secs] 
2024-07-05T00:49:05.865+0800: 54.575: [GC (Allocation Failure) [PSYoungGen: 56320K->11988K(131072K)] 88219K->43888K(190976K), 0.0209789 secs] [Times: user=0.03 sys=0.01, real=0.03 secs] 
2024-07-05T00:49:06.555+0800: 55.266: [GC (Allocation Failure) [PSYoungGen: 123092K->21989K(133120K)] 154992K->68737K(193024K), 0.0544469 secs] [Times: user=0.09 sys=0.01, real=0.05 secs] 
2024-07-05T00:49:06.610+0800: 55.320: [Full GC (Ergonomics) [PSYoungGen: 21989K->0K(133120K)] [ParOldGen: 46748K->46368K(83968K)] 68737K->46368K(217088K), [Metaspace: 11751K->11751K(1060864K)], 0.1483257 secs] [Times: user=0.28 sys=0.00, real=0.15 secs] 
2024-07-05T00:49:07.298+0800: 56.009: [GC (Allocation Failure) [PSYoungGen: 111104K->19456K(168960K)] 157472K->65832K(252928K), 0.0361231 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2024-07-05T00:49:07.834+0800: 56.545: [GC (Allocation Failure) [PSYoungGen: 168448K->32748K(194048K)] 214824K->97688K(278016K), 0.0778235 secs] [Times: user=0.13 sys=0.02, real=0.07 secs] 
2024-07-05T00:49:07.912+0800: 56.623: [Full GC (Ergonomics) [PSYoungGen: 32748K->0K(194048K)] [ParOldGen: 64939K->55242K(103424K)] 97688K->55242K(297472K), [Metaspace: 11878K->11878K(1060864K)], 0.1795501 secs] [Times: user=0.34 sys=0.00, real=0.18 secs] 
2024-07-05T00:49:08.846+0800: 57.556: [GC (Allocation Failure) [PSYoungGen: 161280K->19704K(195584K)] 216522K->74954K(299008K), 0.0491059 secs] [Times: user=0.09 sys=0.01, real=0.05 secs] 
2024-07-05T00:49:09.324+0800: 58.035: [GC (Allocation Failure) [PSYoungGen: 170744K->24944K(194048K)] 225994K->97042K(297472K), 0.0708059 secs] [Times: user=0.13 sys=0.01, real=0.08 secs] 
2024-07-05T00:49:09.858+0800: 58.569: [GC (Allocation Failure) [PSYoungGen: 175984K->23504K(195072K)] 248082K->100834K(298496K), 0.0293025 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2024-07-05T00:49:10.490+0800: 59.200: [GC (Allocation Failure) [PSYoungGen: 175056K->11008K(162816K)] 252386K->95615K(266240K), 0.0378850 secs] [Times: user=0.07 sys=0.01, real=0.04 secs] 
2024-07-05T00:49:10.528+0800: 59.238: [Full GC (Ergonomics) [PSYoungGen: 11008K->0K(162816K)] [ParOldGen: 84607K->44714K(101888K)] 95615K->44714K(264704K), [Metaspace: 11910K->11910K(1060864K)], 0.1286049 secs] [Times: user=0.24 sys=0.00, real=0.13 secs] 
2024-07-05T00:49:11.085+0800: 59.795: [GC (Allocation Failure) [PSYoungGen: 151552K->29888K(192000K)] 196266K->74610K(293888K), 0.0344425 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:11.536+0800: 60.247: [GC (Allocation Failure) [PSYoungGen: 179904K->17712K(194048K)] 224626K->70629K(295936K), 0.0268738 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:11.973+0800: 60.684: [GC (Allocation Failure) [PSYoungGen: 167728K->18544K(189440K)] 220645K->72918K(291328K), 0.0389127 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2024-07-05T00:49:12.449+0800: 61.159: [GC (Allocation Failure) [PSYoungGen: 171120K->22272K(192000K)] 225494K->78523K(293888K), 0.0231051 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:12.946+0800: 61.656: [GC (Allocation Failure) [PSYoungGen: 174848K->18160K(194560K)] 231099K->82077K(296448K), 0.0279333 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:13.520+0800: 62.231: [GC (Allocation Failure) [PSYoungGen: 178416K->17360K(197120K)] 242333K->93742K(299008K), 0.0355424 secs] [Times: user=0.07 sys=0.01, real=0.04 secs] 
2024-07-05T00:49:13.919+0800: 62.629: [GC (Allocation Failure) [PSYoungGen: 177616K->34240K(195072K)] 253998K->116726K(296960K), 0.0491892 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2024-07-05T00:49:14.506+0800: 63.216: [GC (Allocation Failure) [PSYoungGen: 193984K->10912K(199168K)] 276470K->95454K(301056K), 0.0134522 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:15.009+0800: 63.720: [GC (Allocation Failure) [PSYoungGen: 170656K->17552K(196096K)] 255198K->106142K(297984K), 0.0288874 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:15.038+0800: 63.749: [Full GC (Ergonomics) [PSYoungGen: 17552K->0K(196096K)] [ParOldGen: 88590K->49197K(110592K)] 106142K->49197K(306688K), [Metaspace: 11975K->11975K(1060864K)], 0.1604514 secs] [Times: user=0.31 sys=0.00, real=0.16 secs] 
2024-07-05T00:49:15.612+0800: 64.322: [GC (Allocation Failure) [PSYoungGen: 159744K->35328K(195584K)] 208941K->84533K(306176K), 0.0420630 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2024-07-05T00:49:16.154+0800: 64.865: [GC (Allocation Failure) [PSYoungGen: 195072K->16320K(198144K)] 244277K->65533K(308736K), 0.0293781 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:16.637+0800: 65.348: [GC (Allocation Failure) [PSYoungGen: 172480K->21376K(177664K)] 221693K->74149K(288256K), 0.0325934 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:17.078+0800: 65.789: [GC (Allocation Failure) [PSYoungGen: 177536K->31728K(193024K)] 230309K->84509K(303616K), 0.0324427 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:17.634+0800: 66.345: [GC (Allocation Failure) [PSYoungGen: 185840K->18496K(195072K)] 238621K->71285K(305664K), 0.0194668 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:18.098+0800: 66.809: [GC (Allocation Failure) [PSYoungGen: 172608K->22000K(193536K)] 225397K->74797K(304128K), 0.0275717 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:18.468+0800: 67.179: [GC (Allocation Failure) [PSYoungGen: 179696K->25008K(196096K)] 232493K->77813K(306688K), 0.0235971 secs] [Times: user=0.05 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:18.925+0800: 67.636: [GC (Allocation Failure) [PSYoungGen: 182704K->27120K(199680K)] 235509K->79933K(310272K), 0.0279665 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:19.287+0800: 67.997: [GC (Allocation Failure) [PSYoungGen: 188912K->18704K(180736K)] 241725K->71525K(291328K), 0.0187004 secs] [Times: user=0.03 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:19.797+0800: 68.507: [GC (Allocation Failure) [PSYoungGen: 180496K->7664K(198656K)] 233317K->60493K(309248K), 0.0100678 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2024-07-05T00:49:20.172+0800: 68.883: [GC (Allocation Failure) [PSYoungGen: 168944K->25328K(199680K)] 221773K->78157K(310272K), 0.0316019 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2024-07-05T00:49:20.598+0800: 69.308: [GC (Allocation Failure) [PSYoungGen: 186608K->26703K(199168K)] 239437K->79540K(309760K), 0.0271331 secs] [Times: user=0.06 sys=0.00, real=0.02 secs] 
2024-07-05T00:49:21.077+0800: 69.788: [GC (Allocation Failure) [PSYoungGen: 187471K->19264K(180224K)] 240308K->72110K(290816K), 0.0183244 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
