OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2252348k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:CompileThreshold=20000 -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-05T10:53:38.112+0800: 12.349: [GC (Allocation Failure) [PSYoungGen: 14848K->1360K(16896K)] 14848K->1368K(55296K), 0.0028025 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2024-07-05T10:54:20.975+0800: 55.212: [GC (Allocation Failure) [PSYoungGen: 16208K->2048K(16896K)] 16216K->4167K(55296K), 0.0052925 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2024-07-05T10:54:21.023+0800: 55.260: [GC (Allocation Failure) [PSYoungGen: 16896K->2032K(16896K)] 19015K->7288K(55296K), 0.0069792 secs] [Times: user=0.00 sys=0.01, real=0.00 secs] 
2024-07-05T10:54:21.080+0800: 55.317: [GC (Allocation Failure) [PSYoungGen: 16880K->2016K(31744K)] 22136K->11153K(70144K), 0.0069443 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2024-07-05T10:54:21.162+0800: 55.399: [GC (Allocation Failure) [PSYoungGen: 31712K->2032K(31744K)] 40849K->15617K(70144K), 0.0091252 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2024-07-05T10:54:21.374+0800: 55.611: [GC (Allocation Failure) [PSYoungGen: 31724K->8692K(65024K)] 45308K->24883K(103424K), 0.0100725 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2024-07-05T10:54:21.757+0800: 55.993: [GC (Allocation Failure) [PSYoungGen: 65012K->11754K(68096K)] 81203K->44465K(106496K), 0.0364509 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
2024-07-05T10:54:21.793+0800: 56.030: [Full GC (Ergonomics) [PSYoungGen: 11754K->0K(68096K)] [ParOldGen: 32710K->28870K(56832K)] 44465K->28870K(124928K), [Metaspace: 10170K->10170K(1058816K)], 0.0991510 secs] [Times: user=0.19 sys=0.00, real=0.10 secs] 
2024-07-05T10:54:22.781+0800: 57.018: [GC (Allocation Failure) [PSYoungGen: 56320K->12004K(131072K)] 85190K->40882K(187904K), 0.0243564 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T10:54:23.539+0800: 57.776: [GC (Allocation Failure) [PSYoungGen: 123108K->22000K(133120K)] 151986K->65117K(189952K), 0.0894918 secs] [Times: user=0.17 sys=0.00, real=0.09 secs] 
2024-07-05T10:54:23.629+0800: 57.866: [Full GC (Ergonomics) [PSYoungGen: 22000K->0K(133120K)] [ParOldGen: 43117K->45765K(82944K)] 65117K->45765K(216064K), [Metaspace: 11763K->11763K(1060864K)], 0.1595694 secs] [Times: user=0.30 sys=0.01, real=0.16 secs] 
2024-07-05T10:54:24.429+0800: 58.666: [GC (Allocation Failure) [PSYoungGen: 111104K->19840K(172544K)] 156869K->65613K(255488K), 0.0433136 secs] [Times: user=0.08 sys=0.02, real=0.04 secs] 
2024-07-05T10:54:25.154+0800: 59.391: [GC (Allocation Failure) [PSYoungGen: 172416K->32736K(195584K)] 218189K->97807K(278528K), 0.0809120 secs] [Times: user=0.14 sys=0.02, real=0.08 secs] 
2024-07-05T10:54:25.235+0800: 59.472: [Full GC (Ergonomics) [PSYoungGen: 32736K->0K(195584K)] [ParOldGen: 65071K->55929K(103936K)] 97807K->55929K(299520K), [Metaspace: 11878K->11878K(1060864K)], 0.1849352 secs] [Times: user=0.34 sys=0.00, real=0.18 secs] 
2024-07-05T10:54:26.171+0800: 60.408: [GC (Allocation Failure) [PSYoungGen: 162816K->19250K(255488K)] 218745K->75180K(359424K), 0.0411128 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2024-07-05T10:54:26.945+0800: 61.182: [GC (Allocation Failure) [PSYoungGen: 232242K->15280K(256000K)] 288172K->87792K(359936K), 0.0541803 secs] [Times: user=0.10 sys=0.01, real=0.05 secs] 
2024-07-05T10:54:27.692+0800: 61.929: [GC (Allocation Failure) [PSYoungGen: 228272K->21696K(316416K)] 300784K->104534K(420352K), 0.0465393 secs] [Times: user=0.08 sys=0.02, real=0.05 secs] 
2024-07-05T10:54:27.739+0800: 61.976: [Full GC (Ergonomics) [PSYoungGen: 21696K->0K(316416K)] [ParOldGen: 82838K->48723K(107520K)] 104534K->48723K(423936K), [Metaspace: 11913K->11913K(1060864K)], 0.1480676 secs] [Times: user=0.28 sys=0.00, real=0.15 secs] 
2024-07-05T10:54:28.752+0800: 62.989: [GC (Allocation Failure) [PSYoungGen: 277504K->14856K(317952K)] 326227K->63588K(425472K), 0.0270190 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2024-07-05T10:54:29.645+0800: 63.882: [GC (Allocation Failure) [PSYoungGen: 292360K->27328K(392704K)] 341092K->76067K(500224K), 0.0535131 secs] [Times: user=0.09 sys=0.01, real=0.05 secs] 
2024-07-05T10:54:30.724+0800: 64.961: [GC (Allocation Failure) [PSYoungGen: 381632K->24135K(394240K)] 430371K->72874K(501760K), 0.0323930 secs] [Times: user=0.06 sys=0.01, real=0.03 secs] 
2024-07-05T10:54:31.827+0800: 66.064: [GC (Allocation Failure) [PSYoungGen: 378439K->24640K(451072K)] 427178K->73387K(558592K), 0.0384742 secs] [Times: user=0.07 sys=0.01, real=0.04 secs] 
2024-07-05T10:54:32.982+0800: 67.219: [GC (Allocation Failure) [PSYoungGen: 438336K->30992K(454144K)] 487083K->79747K(561664K), 0.0424291 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T10:54:34.245+0800: 68.482: [GC (Allocation Failure) [PSYoungGen: 444688K->28386K(518656K)] 493443K->77149K(626176K), 0.0387928 secs] [Times: user=0.06 sys=0.01, real=0.04 secs] 
2024-07-05T10:54:35.596+0800: 69.833: [GC (Allocation Failure) [PSYoungGen: 506594K->33216K(521216K)] 555357K->81979K(628736K), 0.0576608 secs] [Times: user=0.10 sys=0.02, real=0.06 secs] 
2024-07-05T10:54:36.993+0800: 71.230: [GC (Allocation Failure) [PSYoungGen: 511424K->29888K(593408K)] 560187K->78659K(700928K), 0.0435743 secs] [Times: user=0.06 sys=0.03, real=0.05 secs] 
