Linux 5.15.0-106-generic (iZf8zetnft7hz64q6zlvzzZ) 	07/06/2024 	_x86_64_	(2 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:18 PM     0      8858    5.20    0.40    0.00    0.00    5.60     0   1454.80      1.80 5645500   44920   1.23      0.20      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:23 PM     0      8858    0.20    0.00    0.00    0.00    0.20     0     25.20      0.60 5645500   44960   1.23      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:28 PM     0      8858    1.00    0.20    0.00    0.00    1.20     0    112.00      0.00 5645500   45840   1.26      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:33 PM     0      8858    0.40    0.00    0.00    0.00    0.40     0     48.40      0.00 5645500   45860   1.26      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:38 PM     0      8858    0.40    0.20    0.00    0.00    0.60     0     47.40      0.00 5645500   45336   1.24      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:43 PM     0      8858    0.20    0.20    0.00    0.00    0.40     0     23.60      0.00 5645500   45732   1.25      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:48 PM     0      8858    0.00    0.00    0.00    0.00    0.00     0      0.00      0.00 5645500   45732   1.25      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
