OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2040184k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-05T13:02:51.307+0800: 11.037: [GC (Allocation Failure) [PSYoungGen: 14848K->1315K(16896K)] 14848K->1315K(55296K), 0.0039662 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2024-07-05T13:03:35.346+0800: 55.076: [GC (Allocation Failure) [PSYoungGen: 16163K->2043K(16896K)] 16163K->4181K(55296K), 0.0087950 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-05T13:03:35.410+0800: 55.140: [GC (Allocation Failure) [PSYoungGen: 16891K->2035K(16896K)] 19029K->7288K(55296K), 0.0043876 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2024-07-05T13:03:35.469+0800: 55.199: [GC (Allocation Failure) [PSYoungGen: 16883K->2019K(31744K)] 22136K->11270K(70144K), 0.0081148 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-05T13:03:35.558+0800: 55.288: [GC (Allocation Failure) [PSYoungGen: 31715K->2035K(31744K)] 40966K->15695K(70144K), 0.0083631 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2024-07-05T13:03:35.753+0800: 55.483: [GC (Allocation Failure) [PSYoungGen: 31731K->8692K(64512K)] 45391K->25089K(102912K), 0.0109417 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
2024-07-05T13:03:36.178+0800: 55.908: [GC (Allocation Failure) [PSYoungGen: 64500K->12260K(68096K)] 80897K->44889K(106496K), 0.0407568 secs] [Times: user=0.06 sys=0.02, real=0.04 secs] 
2024-07-05T13:03:36.219+0800: 55.948: [Full GC (Ergonomics) [PSYoungGen: 12260K->0K(68096K)] [ParOldGen: 32628K->32802K(60416K)] 44889K->32802K(128512K), [Metaspace: 10191K->10191K(1058816K)], 0.1026099 secs] [Times: user=0.20 sys=0.00, real=0.11 secs] 
2024-07-05T13:03:37.161+0800: 56.891: [GC (Allocation Failure) [PSYoungGen: 55808K->12266K(131072K)] 88610K->45069K(191488K), 0.0210431 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2024-07-05T13:03:37.921+0800: 57.651: [GC (Allocation Failure) [PSYoungGen: 122346K->22522K(132608K)] 155149K->69050K(193024K), 0.0583613 secs] [Times: user=0.09 sys=0.02, real=0.05 secs] 
2024-07-05T13:03:37.980+0800: 57.710: [Full GC (Ergonomics) [PSYoungGen: 22522K->0K(132608K)] [ParOldGen: 46528K->45531K(82432K)] 69050K->45531K(215040K), [Metaspace: 11763K->11763K(1060864K)], 0.1578851 secs] [Times: user=0.28 sys=0.01, real=0.16 secs] 
2024-07-05T13:03:38.748+0800: 58.478: [GC (Allocation Failure) [PSYoungGen: 110080K->19840K(167424K)] 155611K->65379K(249856K), 0.0370459 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2024-07-05T13:03:39.318+0800: 59.048: [GC (Allocation Failure) [PSYoungGen: 167296K->30516K(193536K)] 212835K->93651K(275968K), 0.0719701 secs] [Times: user=0.12 sys=0.02, real=0.07 secs] 
2024-07-05T13:03:40.184+0800: 59.913: [GC (Allocation Failure) [PSYoungGen: 191284K->7225K(241152K)] 254419K->77477K(323584K), 0.0252063 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
2024-07-05T13:03:40.209+0800: 59.939: [Full GC (Ergonomics) [PSYoungGen: 7225K->0K(241152K)] [ParOldGen: 70251K->35985K(81920K)] 77477K->35985K(323072K), [Metaspace: 11894K->11894K(1060864K)], 0.1063549 secs] [Times: user=0.19 sys=0.00, real=0.11 secs] 
2024-07-05T13:03:41.007+0800: 60.737: [GC (Allocation Failure) [PSYoungGen: 203776K->23513K(240128K)] 239761K->59507K(322048K), 0.0289741 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2024-07-05T13:03:41.633+0800: 61.363: [GC (Allocation Failure) [PSYoungGen: 227289K->23792K(307712K)] 263283K->69426K(389632K), 0.0553461 secs] [Times: user=0.09 sys=0.02, real=0.05 secs] 
2024-07-05T13:03:42.651+0800: 62.380: [GC (Allocation Failure) [PSYoungGen: 293616K->17712K(308736K)] 339250K->63618K(390656K), 0.0268957 secs] [Times: user=0.04 sys=0.01, real=0.03 secs] 
2024-07-05T13:03:43.547+0800: 63.277: [GC (Allocation Failure) [PSYoungGen: 287536K->17426K(380416K)] 333442K->63340K(462336K), 0.0238942 secs] [Times: user=0.04 sys=0.00, real=0.02 secs] 
2024-07-05T13:03:44.620+0800: 64.350: [GC (Allocation Failure) [PSYoungGen: 369682K->27952K(387584K)] 415596K->73874K(469504K), 0.0638937 secs] [Times: user=0.12 sys=0.00, real=0.07 secs] 
2024-07-05T13:03:45.707+0800: 65.437: [GC (Allocation Failure) [PSYoungGen: 380208K->21488K(461824K)] 426130K->67418K(543744K), 0.0513532 secs] [Times: user=0.08 sys=0.01, real=0.05 secs] 
2024-07-05T13:03:47.113+0800: 66.843: [GC (Allocation Failure) [PSYoungGen: 446960K->17184K(462848K)] 492890K->63122K(544768K), 0.0660450 secs] [Times: user=0.12 sys=0.01, real=0.06 secs] 
2024-07-05T13:03:48.559+0800: 68.289: [GC (Allocation Failure) [PSYoungGen: 442656K->21264K(537600K)] 488594K->67210K(619520K), 0.0361899 secs] [Times: user=0.07 sys=0.01, real=0.04 secs] 
2024-07-05T13:03:50.517+0800: 70.247: [GC (Allocation Failure) [PSYoungGen: 529168K->8046K(543232K)] 575114K->54000K(625152K), 0.0135948 secs] [Times: user=0.01 sys=0.01, real=0.01 secs] 
2024-07-05T13:03:51.978+0800: 71.707: [GC (Allocation Failure) [PSYoungGen: 515950K->18624K(610304K)] 561904K->64578K(692224K), 0.0202847 secs] [Times: user=0.04 sys=0.01, real=0.02 secs] 
