Linux 5.15.0-106-generic (iZf8zetnft7hz64q6zlvzzZ) 	07/05/2024 	_x86_64_	(2 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:45 PM     0     16063    5.20    0.40    0.00    0.00    5.60     0   1396.20      1.60 5601444   43232   1.19      0.20      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:50 PM     0     16063    0.20    0.00    0.00    0.00    0.20     0     33.20      0.00 5601444   43384   1.19      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:02:55 PM     0     16063    1.00    0.20    0.00    0.00    1.20     0    179.20      0.00 5601444   45508   1.25      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:03:00 PM     0     16063    0.20    0.40    0.00    0.00    0.60     0     58.40      0.00 5601444   45236   1.24      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:03:05 PM     0     16063    0.00    0.00    0.00    0.00    0.00     0     11.40      0.00 5601444   45236   1.24      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:03:10 PM     0     16063    0.20    0.20    0.00    0.00    0.40     0     17.20      0.00 5601444   45308   1.24      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
01:03:15 PM     0     16063    0.00    0.00    0.00    0.00    0.00     0      0.00      0.40 5601444   45308   1.24      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
