OpenJDK 64-Bit Server VM (25.412-b08) for linux-amd64 JRE (1.8.0_412-8u412-ga-1~22.04.1-b08), built on May 30 2024 06:02:10 by "buildd" with gcc 11.4.0
Memory: 4k page, physical 3644708k(2227420k free), swap 4194300k(4194300k free)
CommandLine flags: -XX:InitialHeapSize=58315328 -XX:MaxHeapSize=3221225472 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseParallelGC 
2024-07-04T22:39:12.794+0800: 12.108: [GC (Allocation Failure) [PSYoungGen: 14848K->1315K(16896K)] 14848K->1315K(55296K), 0.0041475 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2024-07-04T22:39:57.549+0800: 56.863: [GC (Allocation Failure) [PSYoungGen: 16163K->2042K(16896K)] 16163K->4161K(55296K), 0.0075541 secs] [Times: user=0.00 sys=0.01, real=0.01 secs] 
2024-07-04T22:39:57.610+0800: 56.924: [GC (Allocation Failure) [PSYoungGen: 16890K->2048K(16896K)] 19009K->7306K(55296K), 0.0058055 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-04T22:39:57.667+0800: 56.981: [GC (Allocation Failure) [PSYoungGen: 16888K->2048K(31744K)] 22147K->11205K(70144K), 0.0063530 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
2024-07-04T22:39:57.753+0800: 57.067: [GC (Allocation Failure) [PSYoungGen: 31744K->2032K(31744K)] 40901K->15699K(70144K), 0.0082885 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-04T22:39:57.976+0800: 57.290: [GC (Allocation Failure) [PSYoungGen: 31728K->8674K(64512K)] 45395K->25047K(102912K), 0.0103094 secs] [Times: user=0.01 sys=0.00, real=0.01 secs] 
2024-07-04T22:39:58.517+0800: 57.831: [GC (Allocation Failure) [PSYoungGen: 64482K->12257K(68096K)] 80855K->44773K(106496K), 0.0493275 secs] [Times: user=0.08 sys=0.02, real=0.05 secs] 
2024-07-04T22:39:58.567+0800: 57.881: [Full GC (Ergonomics) [PSYoungGen: 12257K->0K(68096K)] [ParOldGen: 32516K->34026K(61440K)] 44773K->34026K(129536K), [Metaspace: 10257K->10257K(1058816K)], 0.1006544 secs] [Times: user=0.18 sys=0.00, real=0.10 secs] 
