Linux 5.15.0-106-generic (iZf8zetnft7hz64q6zlvzzZ) 	07/11/2024 	_x86_64_	(2 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
08:39:12 PM     0      6029  144.00    8.80    0.00    0.00  152.80     1  13234.60      3.20 5654344  274588   7.53      0.20      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
08:39:17 PM     0      6029   74.60    4.60    0.00    0.00   79.20     1   1696.40      0.00 5654344  308364   8.46      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
08:39:22 PM     0      6029   79.60    4.40    0.00    0.00   84.00     1    771.60      0.00 5654344  321516   8.82      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
08:39:27 PM     0      6029   79.40    5.20    0.00    0.00   84.60     1   9496.80      0.00 5654344  510860  14.02      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
08:39:32 PM     0      6029   63.40    6.80    0.00    0.00   70.20     1   2566.40      0.00 5654344  562368  15.43      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
08:39:37 PM     0      6029  166.00   11.80    0.00    0.00  177.80     1  46463.60      0.00 5657416 1490684  40.90      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
08:39:42 PM     0      6029  191.00    1.20    0.00    0.00  192.20     1    261.80      0.80 5657416 1496068  41.05      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
