Linux 5.15.0-106-generic (iZf8zetnft7hz64q6zlvzzZ) 	07/07/2024 	_x86_64_	(2 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
02:34:15 PM     0     75670  183.00    4.00    0.00    0.00  187.00     1   9770.40      1.60 5645340  196708   5.40      0.20      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
02:34:20 PM     0     75670  183.20    2.20    0.00    0.00  185.40     1     36.40      0.00 5645340  196780   5.40      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
02:34:25 PM     0     75670  182.00    3.20    0.00    0.00  185.20     1     35.00      0.00 5645340  196780   5.40      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
02:34:30 PM     0     75670  181.00    3.00    0.00    0.00  184.00     1     34.60      0.00 5645340  196780   5.40      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
02:34:35 PM     0     75670  183.00    2.80    0.00    0.00  185.80     1     34.60      0.00 5645340  196780   5.40      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
02:34:40 PM     0     75670  182.40    2.40    0.00    0.00  184.80     1     35.40      0.00 5645340  196996   5.40      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
02:34:45 PM     0     75670  181.20    2.60    0.00    0.00  183.80     1     35.20      0.80 5645340  196996   5.40      0.00      0.00  java

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   cswch/s nvcswch/s  Command
